unit_id,original,translation_zh_tw,status,translate,occurrence_count,first_location,leading_spaces,trailing_spaces
DLG_e2dcee44c746,Free! Finally free! I will destroy you all! Ha ha ha! ,,pending,True,1,GPL-1@0x0017,0,1
DLG_33724d25c948,Dag,,pending,True,1457,GPL-1@0x008A,0,0
DLG_cfce762186f2,Halton,,pending,True,1245,GPL-1@0x008F,0,0
DLG_1e1f326abae2,Please help me. I was betrayed and locked in my own dungeon.,,pending,True,1,GPL-1@0x009A,0,0
DLG_1e82ab82c6de,Garn,,pending,True,553,GPL-1@0x0116,0,0
DLG_a8925c8ccb8e,<active_character_name>,,not_translatable,False,47,GPL-1@0x0116,0,0
DLG_2f14183907e2,  How can I free you? ,,pending,True,1,GPL-1@0x0116,2,1
DLG_6802c1dcf451,  What is a heart-crystal?,,pending,True,1,GPL-1@0x0116,2,0
DLG_54f98f9eb386,  What is this place?,,pending,True,1,GPL-1@0x0116,2,0
DLG_0cbca5fe0c7a,  You can't stop me now.,,pending,True,1,GPL-1@0x0116,2,0
DLG_3e9b033941ec,  Who are you?,,pending,True,38,GPL-1@0x0116,2,0
DLG_0bf25a11367c,  You destroyed this temple!,,pending,True,1,GPL-1@0x0116,2,0
DLG_dec6a2af15b2,  Who betrayed you?,,pending,True,2,GPL-1@0x0116,2,0
DLG_edeee0b7b34c,  Why should I believe you?,,pending,True,2,GPL-1@0x0116,2,0
DLG_cfa28f14183c,  Who is left to take revenge on?,,pending,True,1,GPL-1@0x0116,2,0
DLG_505dbe50a9fd,"  A'poss, I free you from your prison.",,pending,True,1,GPL-1@0x0116,2,0
DLG_d2c391616617,  What do I have to do to free you?,,pending,True,1,GPL-1@0x0116,2,0
DLG_fa2977b7b1c0,  What spell?,,pending,True,1,GPL-1@0x0116,2,0
DLG_fda6f2fb5429,"Sorry, I can't help you. Goodbye.",,pending,True,1,GPL-1@0x0116,0,0
DLG_6a7c12f13aa7,It's good to meet you. ,,pending,True,1,GPL-1@0x02B3,0,1
DLG_b7f764e5161c,Find my heart-crystal! It's somewhere on the surface! You will be ,,pending,True,1,GPL-1@0x02DD,0,1
DLG_7bfe759337d9,rewarded. ,,pending,True,1,GPL-1@0x031D,0,1
DLG_e362e5caa226,It is a green crystal which contains my soul. Without it I cannot ,,pending,True,1,GPL-1@0x0332,0,1
DLG_42334b475a16,be freed. ,,pending,True,1,GPL-1@0x0372,0,1
DLG_23d8ac2b4e52,This is the temple of riches. All I have is yours if you let me ,,pending,True,1,GPL-1@0x0385,0,1
DLG_8ce705d0a084,out.,,pending,True,1,GPL-1@0x03C3,0,0
DLG_258f314566ea,Well... everything's hidden. But I can tell you how to find ,,pending,True,1,GPL-1@0x03DB,0,1
DLG_f6a5bbbc1187,all the best treasures.,,pending,True,1,GPL-1@0x0416,0,0
DLG_ab09f5e2e5b2,"I am A'Poss, master of this temple.",,pending,True,1,GPL-1@0x0439,0,0
DLG_2559512cbfc3,That's right! I'll destroy you too if you don't get me out ,,pending,True,1,GPL-1@0x0470,0,1
DLG_d43a30515420,of these chains!,,pending,True,1,GPL-1@0x04AA,0,0
DLG_783e83301118,My followers were... uh... swayed by the smooth cunning of ,,pending,True,1,GPL-1@0x04C7,0,1
DLG_0d8d76ede62a,an evil fellow priest. They were tricked into destroying me.,,pending,True,1,GPL-1@0x0501,0,0
DLG_f6450712249d,What motivation could I possibly have for ,,pending,True,1,GPL-1@0x054A,0,1
DLG_1fcf596b1572,lying to such a kind traveller as yourself?,,pending,True,1,GPL-1@0x0575,0,0
DLG_649538e828a5,Did I say revenge? It's all these years of imprisonment clouding ,,pending,True,1,GPL-1@0x05AA,0,1
DLG_88563225ebd2,my mind. All I want to do is set my spirit at rest.,,pending,True,1,GPL-1@0x05E9,0,0
DLG_f32977434f0e,Thank you! Free from this prison at last! Now I will kill you and ,,pending,True,1,GPL-1@0x0622,0,1
DLG_8f27a774aefc,anyone else in my way!,,pending,True,1,GPL-1@0x0662,0,0
DLG_5b9b7943161d,Find my heart-crystal. You will know it when you see it. ,,pending,True,1,GPL-1@0x06C2,0,1
DLG_fd6b4207e83d,It was taken many years ago by one bent on my destruction. He ,,pending,True,1,GPL-1@0x06FA,0,1
DLG_f7510384c1b6,"could not destroy it, so he hid it -- not in the temple, I fear. ",,pending,True,1,GPL-1@0x0737,0,1
DLG_b9b4dc47f49d,Return with the gem and I will teach you a powerful spell! ,,pending,True,1,GPL-1@0x0776,0,1
DLG_ab0a7898c751,"Since I have become a shade, I have learned how to summon others ",,pending,True,1,GPL-1@0x07BB,0,1
DLG_79751f8cf5a1,"of my kind. I have reduced this knowledge to a single scroll, which ",,pending,True,1,GPL-1@0x07FA,0,1
DLG_9a3bbc4f4411,you will be able to use when you are powerful enough to wield such magics. ,,pending,True,1,GPL-1@0x083C,0,1
DLG_fee7cf1e459e,Please! Don't leave me like this! ,,pending,True,1,GPL-1@0x088A,0,1
DLG_78a6f0aef046,"By the lost gods of Athas, set me free! I brought destruction ",,pending,True,1,GPL-1@0x08BD,0,1
DLG_c27eb3821e08,"upon this place, and I'll do the same to you!",,pending,True,1,GPL-1@0x08FA,0,0
DLG_beecb8d6e5ff, Release me from these chains that I may demonstrate my gratitude!,,pending,True,1,GPL-1@0x0947,1,0
DLG_f04a733896d0," Now please, unfetter me that I may exact my revenge!",,pending,True,1,GPL-1@0x098C,1,0
DLG_e0324cff110a," Loose my bonds, I beseech you!",,pending,True,1,GPL-1@0x09CB,1,0
DLG_beec6a01f883,  Why did you curse this place?,,pending,True,1,GPL-1@0x0A36,2,0
DLG_4d6934e85ed9,  How did you become imprisoned?,,pending,True,1,GPL-1@0x0A36,2,0
DLG_2c2edf829764,  Do you know anything about the amulets?,,pending,True,1,GPL-1@0x0A36,2,0
DLG_f47f64e30c97,  Where can I find them?,,pending,True,1,GPL-1@0x0A36,2,0
DLG_5da5d69b4388,  Is Tristram still in this place?,,pending,True,1,GPL-1@0x0A36,2,0
DLG_a81f54ed8ea0,  Where can I find her?,,pending,True,1,GPL-1@0x0A36,2,0
DLG_0289eddfe62a,  Why are the followers zombies?,,pending,True,1,GPL-1@0x0A36,2,0
DLG_1445c24d217b,Bye.,,pending,True,3,GPL-1@0x0A36,0,0
DLG_a928439fc8f0,Tynan jeopardized the peace of two kingdoms for the love of a woman. ,,pending,True,1,GPL-1@0x0B3B,0,1
DLG_c204d662d37c,The weak fool deserved everything he got.,,pending,True,1,GPL-1@0x0B7E,0,0
DLG_67c2d75e7555,I was captured in the war that resulted from Tynan's interference. ,,pending,True,1,GPL-1@0x0BB8,0,1
DLG_767c72227d20,The king from the west held ME responsible for what happened to his ,,pending,True,1,GPL-1@0x0BF9,0,1
